epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
101,5.249316e-05,0.8558,1.0623,0.7440,0.6625,0.7119,0.8577,96.7,0
102,5.169611e-05,0.8912,1.0916,0.7467,0.6799,0.7264,0.8339,98.1,0
103,5.089874e-05,0.9921,1.0411,0.7482,0.6713,0.7164,0.8570,96.9,0
104,5.010126e-05,0.8978,1.1123,0.7427,0.6743,0.7178,0.8360,94.2,0
105,4.930389e-05,0.8772,1.1015,0.7385,0.6562,0.7087,0.8507,97.2,0
106,4.850684e-05,0.9017,0.9998,0.7687,0.6867,0.7391,0.8802,100.9,1
107,4.771029e-05,0.8688,1.0748,0.7429,0.6739,0.7168,0.8381,96.0,0
108,4.691448e-05,0.9360,1.0741,0.7432,0.6592,0.7129,0.8574,95.6,0
109,4.611959e-05,0.8984,1.0612,0.7674,0.6919,0.7489,0.8615,97.3,0
110,4.532584e-05,0.8666,1.0514,0.7360,0.6460,0.7094,0.8526,97.9,0
111,4.453343e-05,0.8619,1.0592,0.7444,0.6536,0.7255,0.8542,100.8,0
112,4.374258e-05,0.8787,1.1171,0.7402,0.6711,0.7100,0.8396,96.5,0
113,4.295347e-05,0.9017,1.0543,0.7462,0.6605,0.7234,0.8546,95.8,0
114,4.216633e-05,0.9260,1.0372,0.7510,0.6622,0.7253,0.8656,101.0,0
115,4.138134e-05,0.8952,1.0522,0.7490,0.6683,0.7181,0.8605,96.2,0
116,4.059873e-05,0.8874,1.0294,0.7549,0.6785,0.7189,0.8671,97.4,0
117,3.981868e-05,0.9358,1.0212,0.7553,0.6714,0.7290,0.8655,95.7,0
118,3.904141e-05,0.8908,1.0548,0.7410,0.6576,0.7096,0.8559,98.8,0
119,3.826711e-05,0.9162,1.0798,0.7431,0.6516,0.7071,0.8707,99.9,0
120,3.749598e-05,0.8753,1.1056,0.7389,0.6585,0.7215,0.8369,96.0,0
121,3.672824e-05,0.9058,1.1820,0.7303,0.6526,0.7038,0.8345,96.6,0
122,3.596406e-05,0.8392,1.0472,0.7546,0.6795,0.7186,0.8658,96.0,0
123,3.520366e-05,0.9225,1.0570,0.7444,0.6628,0.7170,0.8533,99.4,0
124,3.444723e-05,0.8622,1.0473,0.7526,0.6796,0.7218,0.8563,98.0,0
125,3.369496e-05,0.8766,1.0784,0.7640,0.6922,0.7428,0.8570,97.5,0
126,3.294706e-05,0.9221,1.0871,0.7398,0.6607,0.6977,0.8611,96.2,0
127,3.220371e-05,0.8309,1.0562,0.7574,0.6889,0.7386,0.8448,98.7,0
128,3.146511e-05,0.8377,1.0382,0.7527,0.6713,0.7213,0.8655,95.2,0
129,3.073145e-05,0.8628,0.9942,0.7699,0.6928,0.7335,0.8834,96.6,1
130,3.000293e-05,0.8330,1.0753,0.7497,0.6658,0.7136,0.8698,96.4,0
131,2.927972e-05,0.8841,0.9837,0.7633,0.6777,0.7304,0.8818,99.2,0
132,2.856202e-05,0.8242,1.1225,0.7392,0.6647,0.7104,0.8424,95.6,0
133,2.785001e-05,0.9043,1.0066,0.7578,0.6842,0.7203,0.8688,95.9,0
134,2.714389e-05,0.8644,1.0535,0.7693,0.7040,0.7436,0.8604,101.2,0
135,2.644382e-05,0.8316,1.0742,0.7522,0.6836,0.7192,0.8538,97.5,0
136,2.575000e-05,0.8346,1.0154,0.7509,0.6733,0.7211,0.8582,97.0,0
137,2.506260e-05,0.9218,1.0430,0.7542,0.6753,0.7385,0.8489,97.3,0
138,2.438181e-05,0.8691,1.0927,0.7459,0.6853,0.7146,0.8378,99.9,0
