mode,tau_et,et_vmin,tc_vmin,dice_ET,dice_TC,dice_WT,n_cases,dice_mean
baseline,0.55,750,0,0.7713983521515511,0.8008460447131752,0.9252415877353625,251,0.8324953282000296
baseline,0.55,2000,250,0.7728651628142679,0.7992017801138359,0.9252415877353625,251,0.8324361768878221
baseline,0.5,2000,250,0.7723270119111155,0.7995843843180732,0.9252854011606219,251,0.8323989324632701
baseline,0.5,1000,500,0.7720010817339629,0.797960110800558,0.9252854011606219,251,0.8317488645650476
baseline,0.45,750,250,0.7701898096830244,0.7995502616214558,0.9252709556045614,251,0.8316703423030138
baseline,0.55,750,250,0.7704306895538927,0.7992017801138359,0.9252415877353625,251,0.8316246858010303
baseline,0.5,2000,500,0.771076815815208,0.797960110800558,0.9252854011606219,251,0.8314407759254626
baseline,0.45,2000,500,0.7711796746410507,0.797689060992422,0.9252709556045614,251,0.8313798970793447
baseline,0.55,2000,500,0.771346807122232,0.7973357408455851,0.9252415877353625,251,0.8313080452343932
baseline,0.5,750,0,0.7668019929458595,0.8013041092065954,0.9252854011606219,251,0.8311305011043589
baseline,0.45,750,500,0.7681427778473771,0.797689060992422,0.9252709556045614,251,0.8303675981481202
baseline,0.55,750,500,0.7683784791863677,0.7973357408455851,0.9252415877353625,251,0.8303186025891051
baseline,0.5,750,250,0.765830373241848,0.7995843843180732,0.9252854011606219,251,0.830233386240181
baseline,0.5,750,500,0.7640329542558716,0.797960110800558,0.9252854011606219,251,0.8290928220723505
baseline,0.55,1000,1000,0.7765747671783686,0.7822219026430786,0.9252415877353625,251,0.8280127525189366
baseline,0.5,1500,1000,0.7743989452546604,0.7827887720683376,0.9252854011606219,251,0.82749103949454
baseline,0.45,1500,1000,0.7745082115899489,0.7825179305015721,0.9252709556045614,251,0.8274323658986941
baseline,0.55,1500,1000,0.7746626979984015,0.7822219026430786,0.9252415877353625,251,0.8273753961256142
baseline,0.45,1000,1000,0.7723736366341442,0.7825179305015721,0.9252709556045614,251,0.8267208409134259
baseline,0.5,2000,1000,0.7701379185363412,0.7827887720683376,0.9252854011606219,251,0.8260706972551003
baseline,0.45,2000,1000,0.7702401796293428,0.7825179305015721,0.9252709556045614,251,0.8260096885784921
baseline,0.55,2000,1000,0.7703996581257467,0.7822219026430786,0.9252415877353625,251,0.8259543828347292
baseline,0.5,1000,1000,0.7682705863635819,0.7827887720683376,0.9252854011606219,251,0.8254482531975138
baseline,0.5,1500,1500,0.7720858439404826,0.7789475655218022,0.9252854011606219,251,0.8254396035409689
