patient_id,mode,dice_ET,hd95_ET,nsd_ET,auc_ET,fpv_ET,precision_ET,recall_ET,sensitivity_ET,specificity_ET,dice_TC,hd95_TC,nsd_TC,auc_TC,fpv_TC,precision_TC,recall_TC,sensitivity_TC,specificity_TC,dice_WT,hd95_WT,nsd_WT,auc_WT,fpv_WT,precision_WT,recall_WT,sensitivity_WT,specificity_WT
BraTS2021_01448,baseline_post,0.904257666015414,1.7320507764816284,0.9232831001281738,0.999149099022482,0.428,0.9054561519770268,0.9030623485349196,0.9030623485349196,0.9999520365472544,0.9137297297390562,1.4142135381698608,0.936999261379242,0.9999771466011912,0.36,0.92150021805495,0.9060891938250428,0.9060891938250428,0.9999596563437708,0.9423770412398422,2.2360680103302,0.8688867092132568,0.9999619840605284,4.327,0.9100397097652758,0.9770971918389214,0.9770971918389214,0.9995129008661516
BraTS2021_01448,mc_dropout,0.9038823139139606,1.7320507764816284,0.9242373704910278,0.9998894612257704,0.416,0.9075966237227898,0.900198281559815,0.900198281559815,0.9999533813169575,0.913641781350781,1.4142135381698608,0.9387308359146118,0.9999783533538594,0.349,0.9235487404162104,0.9039451114922812,0.9039451114922812,0.9999608890666002,0.942345368038684,2.2360680103302,0.8690066933631897,0.9999606087527696,4.329,0.91,0.9770748694138132,0.9770748694138132,0.99951267572211
BraTS2021_01448,mc_dropout_post,0.9038823139139606,1.7320507764816284,0.9242373704910278,0.9998894612257704,0.416,0.9075966237227898,0.900198281559815,0.900198281559815,0.9999533813169575,0.913641781350781,1.4142135381698608,0.9387308359146118,0.9999783533538594,0.349,0.9235487404162104,0.9039451114922812,0.9039451114922812,0.9999608890666002,0.942345368038684,2.2360680103302,0.8690066933631897,0.9999606087527696,4.329,0.91,0.9770748694138132,0.9770748694138132,0.99951267572211
BraTS2021_01448,tta,0.9040070453650366,1.7320507764816284,0.9184764623641968,0.9990791345828384,0.439,0.9034103410341034,0.9046045384445912,0.9046045384445912,0.9999508038416932,0.9129731478579776,1.4142135381698608,0.9331638216972352,0.9999764003564376,0.376,0.9184204816663052,0.907590051457976,0.907590051457976,0.999957863292383,0.9464717046244556,2.2360680103302,0.8834922313690186,0.9999684120479936,4.0520000000000005,0.9154741541157329,0.9796419483012636,0.9796419483012636,0.999543858171862
BraTS2021_01448,tta_post,0.9040070453650366,1.7320507764816284,0.9184764623641968,0.9990791345828384,0.439,0.9034103410341034,0.9046045384445912,0.9046045384445912,0.9999508038416932,0.9129731478579776,1.4142135381698608,0.9331638216972352,0.9999764003564376,0.376,0.9184204816663052,0.907590051457976,0.907590051457976,0.999957863292383,0.9464717046244556,2.2360680103302,0.8834922313690186,0.9999684120479936,4.0520000000000005,0.9154741541157329,0.9796419483012636,0.9796419483012636,0.999543858171862
BraTS2021_01449,baseline,0.9153556055023552,1.0,0.9646036624908448,0.9999718929768908,0.266,0.989051245112163,0.8518807388236962,0.8518807388236962,0.9999701116643948,0.9402840579056676,2.4494898319244385,0.8251557350158691,0.999961270085004,0.29,0.993023479599692,0.8928640955203219,0.8928640955203219,0.9999673488468344,0.9566134256225136,2.2360680103302,0.877861738204956,0.999934074575213,6.197,0.9386472090766884,0.9752808295272188,0.9752808295272188,0.999298250620443
BraTS2021_01449,baseline_post,0.9153556055023552,1.0,0.9646036624908448,0.9999718929768908,0.266,0.989051245112163,0.8518807388236962,0.8518807388236962,0.9999701116643948,0.9402840579056676,2.4494898319244385,0.8251557350158691,0.999961270085004,0.29,0.993023479599692,0.8928640955203219,0.8928640955203219,0.9999673488468344,0.9566134256225136,2.2360680103302,0.877861738204956,0.999934074575213,6.197,0.9386472090766884,0.9752808295272188,0.9752808295272188,0.999298250620443
BraTS2021_01449,mc_dropout,0.9145613667146918,1.0,0.964322566986084,0.999964970169517,0.257,0.9893976897689768,0.8502499379586628,0.8502499379586628,0.9999711229238702,0.9399794918543924,2.4494898319244385,0.8239009976387024,0.9999572352031776,0.288,0.9930667565420448,0.8922800718132855,0.8922800718132855,0.9999675740272012,0.956778878420944,2.2360680103302,0.8786055445671082,0.9999342627972244,6.154,0.9390421474914564,0.9751985351602684,0.9751985351602684,0.9993031199480726
BraTS2021_01449,mc_dropout_post,0.9145613667146918,1.0,0.964322566986084,0.999964970169517,0.257,0.9893976897689768,0.8502499379586628,0.8502499379586628,0.9999711229238702,0.9399794918543924,2.4494898319244385,0.8239009976387024,0.9999572352031776,0.288,0.9930667565420448,0.8922800718132855,0.8922800718132855,0.9999675740272012,0.956778878420944,2.2360680103302,0.8786055445671082,0.9999342627972244,6.154,0.9390421474914564,0.9751985351602684,0.9751985351602684,0.9993031199480726
BraTS2021_01449,tta,0.9154513392447726,1.0,0.9649323225021362,0.9999709707278952,0.238,0.9901847575057736,0.8512071471620519,0.8512071471620519,0.9999732578049848,0.941089385157428,2.4494898319244385,0.8349995613098145,0.9999638957899174,0.261,0.9937229437229436,0.8937509463347105,0.8937509463347105,0.999970613962151,0.959294053541542,2.0,0.8873186707496643,0.999942266044058,5.923,0.9413506287751262,0.9779348228613752,0.9779348228613752,0.9993292784290598
BraTS2021_01449,tta_post,0.9154513392447726,1.0,0.9649323225021362,0.9999709707278952,0.238,0.9901847575057736,0.8512071471620519,0.8512071471620519,0.9999732578049848,0.941089385157428,2.4494898319244385,0.8349995613098145,0.9999638957899174,0.261,0.9937229437229436,0.8937509463347105,0.8937509463347105,0.999970613962151,0.959294053541542,2.0,0.8873186707496643,0.999942266044058,5.923,0.9413506287751262,0.9779348228613752,0.9779348228613752,0.9993292784290598
BraTS2021_01450,baseline,0.8823116987238425,7.0,0.9164295792579652,0.999938542530696,1.788,0.8312730017929603,0.9400277451712732,0.9400277451712732,0.9997995207559368,0.9254282339070647,8.9442720413208,0.8973082304000854,0.999917610354686,1.243,0.9097771648399506,0.9416272256028848,0.9416272256028848,0.9998605672054292,0.925155444606678,41.58183288574219,0.8507903814315796,0.976736422584092,3.486,0.9582694886037156,0.8942535412663658,0.8942535412663658,0.9996055884696968
