epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
185,3.733118e-05,0.9793,1.0277,0.7634,0.6856,0.7345,0.8702,67.8,0
186,3.679664e-05,1.0204,0.9566,0.7717,0.6768,0.7473,0.8910,66.5,0
187,3.626383e-05,0.9053,1.0275,0.7578,0.6665,0.7368,0.8701,67.6,0
188,3.573282e-05,0.9822,0.9965,0.7646,0.6853,0.7427,0.8657,66.8,0
189,3.520366e-05,0.9714,0.9841,0.7740,0.6909,0.7533,0.8779,67.5,0
190,3.467643e-05,0.9661,0.9994,0.7539,0.6671,0.7229,0.8716,68.9,0
191,3.415119e-05,0.9787,1.0036,0.7859,0.7219,0.7614,0.8744,68.6,0
192,3.362800e-05,0.9392,0.9855,0.7750,0.6933,0.7469,0.8848,68.4,0
193,3.310695e-05,0.9846,1.0360,0.7577,0.6872,0.7323,0.8535,66.8,0
194,3.258808e-05,0.9665,0.9885,0.7723,0.6872,0.7432,0.8865,67.7,0
195,3.207146e-05,0.9574,0.9650,0.7588,0.6684,0.7287,0.8794,69.0,0
196,3.155717e-05,1.0005,1.0059,0.7712,0.6906,0.7518,0.8713,67.8,0
197,3.104526e-05,1.0276,0.9916,0.7595,0.6666,0.7299,0.8821,68.5,0
198,3.053580e-05,0.9576,1.0182,0.7560,0.6776,0.7277,0.8627,67.1,0
199,3.002885e-05,0.9720,0.9985,0.7582,0.6724,0.7309,0.8714,67.8,0
200,2.952448e-05,0.9710,0.9484,0.7719,0.6804,0.7531,0.8823,66.3,0
201,2.902275e-05,0.9787,1.0092,0.7638,0.6750,0.7420,0.8745,69.0,0
202,2.852373e-05,0.9410,0.9774,0.7851,0.7098,0.7647,0.8809,68.6,0
203,2.802747e-05,1.0162,1.0197,0.7764,0.7081,0.7541,0.8669,69.3,0
204,2.753404e-05,0.9811,1.0428,0.7656,0.6827,0.7358,0.8785,68.6,0
205,2.704350e-05,0.9522,1.0516,0.7561,0.6716,0.7341,0.8625,68.5,0
206,2.655592e-05,0.9974,1.0093,0.7709,0.6889,0.7525,0.8712,66.8,0
207,2.607134e-05,0.9725,0.9146,0.7821,0.7019,0.7560,0.8883,68.4,0
208,2.558985e-05,0.9285,0.9413,0.7914,0.7203,0.7604,0.8935,68.8,1
209,2.511149e-05,0.9539,1.0379,0.7561,0.6703,0.7248,0.8732,67.2,0
210,2.463632e-05,0.9975,1.0598,0.7432,0.6537,0.7180,0.8579,68.5,0
211,2.416441e-05,0.9769,1.0541,0.7581,0.6759,0.7338,0.8647,67.7,0
212,2.369582e-05,0.9959,0.9873,0.7706,0.6868,0.7513,0.8735,67.8,0
213,2.323060e-05,0.9778,1.0395,0.7608,0.6792,0.7368,0.8665,68.3,0
214,2.276881e-05,0.9855,1.0479,0.7629,0.6704,0.7362,0.8820,68.5,0
215,2.231052e-05,0.9015,1.0039,0.7740,0.6987,0.7643,0.8590,69.6,0
216,2.185577e-05,1.0255,1.0364,0.7795,0.7134,0.7623,0.8627,68.5,0
217,2.140463e-05,0.9185,1.0189,0.7637,0.6776,0.7329,0.8804,67.3,0
218,2.095715e-05,0.9951,1.0155,0.7620,0.6835,0.7346,0.8680,68.0,0
219,2.051339e-05,0.9376,1.0516,0.7623,0.6740,0.7323,0.8806,68.9,0
220,2.007341e-05,0.9460,0.9981,0.7707,0.6979,0.7393,0.8750,70.9,0
221,1.963725e-05,0.9948,1.0011,0.7648,0.6882,0.7354,0.8707,71.1,0
222,1.920499e-05,0.9652,0.9680,0.7758,0.6999,0.7523,0.8753,68.9,0
223,1.877666e-05,0.9006,0.9578,0.7754,0.6983,0.7450,0.8828,67.3,0
224,1.835232e-05,0.9482,1.0392,0.7670,0.6969,0.7291,0.8751,69.4,0
225,1.793203e-05,0.9997,1.0148,0.7685,0.6911,0.7455,0.8688,67.9,0
226,1.751584e-05,0.9217,1.0791,0.7502,0.6756,0.7179,0.8571,67.9,0
