epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
182,3.674144e-05,0.7676,1.0529,0.7608,0.7010,0.7240,0.8573,189.6,0
183,3.622715e-05,0.8360,1.0040,0.7597,0.6847,0.7197,0.8746,189.3,0
184,3.571454e-05,0.7788,0.9716,0.7835,0.7241,0.7493,0.8770,189.3,1
185,3.520366e-05,0.8347,1.0550,0.7606,0.6934,0.7278,0.8607,189.3,0
186,3.469457e-05,0.8305,1.0113,0.7833,0.7204,0.7502,0.8793,189.6,0
187,3.418734e-05,0.8446,1.0221,0.7625,0.6930,0.7120,0.8826,189.4,0
188,3.368203e-05,0.8285,1.0580,0.7632,0.7102,0.7132,0.8662,189.6,0
189,3.317869e-05,0.7724,1.0087,0.7781,0.7234,0.7399,0.8709,189.4,0
190,3.267738e-05,0.7884,0.9146,0.8004,0.7385,0.7580,0.9047,189.5,1
191,3.217816e-05,0.7964,1.0363,0.7657,0.7199,0.7325,0.8446,189.7,0
192,3.168109e-05,0.8555,0.9986,0.7748,0.7084,0.7493,0.8667,189.4,0
193,3.118624e-05,0.8217,1.0495,0.7656,0.7054,0.7278,0.8637,189.4,0
194,3.069364e-05,0.8012,0.9895,0.7754,0.7088,0.7408,0.8766,189.1,0
195,3.020338e-05,0.8264,1.0660,0.7486,0.6812,0.7045,0.8601,189.4,0
196,2.971549e-05,0.8482,1.0642,0.7737,0.7284,0.7350,0.8575,189.3,0
197,2.923004e-05,0.8409,0.9654,0.7764,0.7050,0.7393,0.8851,189.3,0
198,2.874709e-05,0.8888,1.0201,0.7706,0.7123,0.7361,0.8635,189.4,0
199,2.826669e-05,0.8113,1.0251,0.7525,0.6771,0.7123,0.8681,189.6,0
200,2.778891e-05,0.7891,1.0094,0.7682,0.6995,0.7182,0.8868,189.5,0
201,2.731378e-05,0.8262,1.0114,0.7638,0.6915,0.7276,0.8724,189.8,0
202,2.684138e-05,0.8178,1.0345,0.7662,0.7012,0.7342,0.8632,189.4,0
203,2.637175e-05,0.8132,0.9927,0.7677,0.7033,0.7311,0.8686,189.4,0
204,2.590496e-05,0.8350,0.9929,0.7569,0.6836,0.7095,0.8777,189.0,0
205,2.544105e-05,0.7614,1.0517,0.7654,0.7096,0.7208,0.8659,189.7,0
206,2.498008e-05,0.8205,1.0344,0.7667,0.6971,0.7262,0.8768,189.3,0
207,2.452211e-05,0.8438,0.9868,0.7844,0.7205,0.7548,0.8778,189.6,0
208,2.406719e-05,0.7886,1.0161,0.7724,0.7190,0.7314,0.8666,189.6,0
209,2.361537e-05,0.8220,0.9505,0.7860,0.7247,0.7402,0.8930,189.8,0
210,2.316670e-05,0.8453,1.0826,0.7543,0.6866,0.7114,0.8651,189.4,0
211,2.272124e-05,0.8065,1.0129,0.7599,0.6993,0.7149,0.8654,189.6,0
212,2.227904e-05,0.8255,1.0315,0.7708,0.7176,0.7148,0.8800,189.1,0
213,2.184015e-05,0.7769,1.0707,0.7607,0.7058,0.7184,0.8581,189.3,0
214,2.140463e-05,0.8343,0.9935,0.7743,0.7119,0.7325,0.8784,189.7,0
215,2.097252e-05,0.8434,0.9810,0.7760,0.7098,0.7375,0.8806,189.6,0
216,2.054388e-05,0.7445,1.0568,0.7552,0.7004,0.7055,0.8598,189.0,0
217,2.011875e-05,0.8049,1.0367,0.7542,0.6939,0.7096,0.8593,189.6,0
218,1.969718e-05,0.8384,1.0127,0.7742,0.7087,0.7392,0.8748,189.3,0
219,1.927924e-05,0.8444,1.0131,0.7748,0.7175,0.7359,0.8709,189.5,0
220,1.886495e-05,0.8168,1.1418,0.7598,0.7133,0.7244,0.8419,189.4,0
221,1.845438e-05,0.7746,1.0356,0.7695,0.7068,0.7366,0.8650,189.3,0
222,1.804757e-05,0.8012,1.0297,0.7836,0.7298,0.7446,0.8765,189.7,0
223,1.764456e-05,0.8242,1.0285,0.7756,0.7140,0.7287,0.8842,189.6,0
224,1.724542e-05,0.8137,0.9868,0.7893,0.7329,0.7622,0.8726,189.4,0
225,1.685017e-05,0.8066,1.0094,0.7813,0.7312,0.7476,0.8653,189.7,0
226,1.645888e-05,0.8048,1.0091,0.7804,0.7206,0.7629,0.8578,189.3,0
227,1.607158e-05,0.8283,0.9785,0.7747,0.7129,0.7273,0.8840,189.5,0
228,1.568832e-05,0.7945,1.0447,0.7740,0.7174,0.7449,0.8598,189.3,0
229,1.530914e-05,0.7643,0.9961,0.7721,0.7198,0.7180,0.8785,189.3,0
